Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,255,8,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,255,8,P:System.ServiceModel.Channels.MessageVersion.Envelope,,,,,"if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,251,3,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.Soap12)  			{  				mediaType = Soap12MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,251,3,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.Soap12)  			{  				mediaType = Soap12MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,251,3,P:System.ServiceModel.EnvelopeVersion.Soap12,,,,,"if (version.Envelope == EnvelopeVersion.Soap12)  			{  				mediaType = Soap12MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,251,3,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.Soap12)  			{  				mediaType = Soap12MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,251,3,P:System.ServiceModel.Channels.MessageVersion.Envelope,,,,,"if (version.Envelope == EnvelopeVersion.Soap12)  			{  				mediaType = Soap12MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,205,2,T:System.ServiceModel.Channels.Message,,,,,"public virtual async Task WriteMessageAsync(Message message, HttpContext httpContext, Stream stream, bool indentXml)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,231,4,M:System.ServiceModel.Channels.Message.WriteMessage(System.Xml.XmlDictionaryWriter),,,,,message.WriteMessage(xmlWriter);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,153,2,T:System.ServiceModel.Channels.Message,,,,,"public virtual async Task WriteMessageAsync(Message message, HttpContext httpContext, PipeWriter pipeWriter, bool indentXml)"
